"start";"end";"Org";"Nome do profissional de saúde";"Qual o distrito de saúde?";"Qual o distrito de saúde?/DABEL";"Qual o distrito de saúde?/DABEN";"Qual o distrito de saúde?/DAENT";"Qual o distrito de saúde?/DAGUA";"Qual o distrito de saúde?/DAICO";"Qual o distrito de saúde?/DAMOS";"Qual o distrito de saúde?/DAOUT";"Qual o distrito de saúde?/DASAC";"Nome do ponto de venda ou do proprietário";"Telefone de contato";"Localização";"_Localização_latitude";"_Localização_longitude";"_Localização_altitude";"_Localização_precision";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"__version__";"_tags";"_index"
"2025-03-19 10:26:21.130000-03:00";"2025-03-19 10:40:10.492000-03:00";"";"Carlos Lima";"";"";"";"";"";"";"";"";"";"Açaí da galeria";"91-985365122";"-1.451985 -48.496239 0 0";"-1.451985";"-48.496239";"0";"0";"453823498";"e9c211e8-c356-470a-9841-e7ec499592fb";"2025-03-19 13:40:12";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"11"
"2025-03-19 10:40:10.764000-03:00";"2025-03-19 10:43:38.178000-03:00";"";"Carlos Lima";"";"";"";"";"";"";"";"";"";"Açaí do Heron";"91-993020506";"-1.427767 -48.472254 0 0";"-1.427767";"-48.472254";"0";"0";"453825133";"f2bfd1f9-56bf-4c26-a357-2ddb1d2f3a11";"2025-03-19 13:43:40";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"12"
"2025-03-19 15:30:41.858000-03:00";"2025-03-19 15:37:06.395000-03:00";"";"Carlos Lima";"";"";"";"";"";"";"";"";"";"Glória a Deus nosso açaí";"91-981453420";"-1.459847 -48.461327 0 0";"-1.459847";"-48.461327";"0";"0";"453942391";"ef21e80c-990b-426d-a0f3-17440acb0c25";"2025-03-19 18:37:09";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"13"
"2025-03-19 15:37:06.501000-03:00";"2025-03-19 15:45:55.048000-03:00";"";"Carlos Lima";"";"";"";"";"";"";"";"";"";"Vitaminosa do baixinho";"91-998090948";"-1.469894 -48.495374 0 0";"-1.469894";"-48.495374";"0";"0";"453945010";"7f14aa2e-9531-4ea3-b52b-005f1be0503c";"2025-03-19 18:45:57";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"14"
"2025-03-19 15:51:59.803000-03:00";"2025-03-19 16:06:22.193000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí do Davi";"91 991 98532-3532";"-1.473787 -48.480659 0 0";"-1.473787";"-48.480659";"0";"0";"453950649";"cecedcf5-4f4b-4bea-b8f8-ee11bad22506";"2025-03-19 19:06:22";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"15"
"2025-03-19 16:06:22.286000-03:00";"2025-03-19 16:13:49.379000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí Garagem";"91 99246-8102";"-1.471979 -48.47485 0 0";"-1.471979";"-48.47485";"0";"0";"453953035";"b61005ef-ed7e-4d80-962e-d1bc5ec6631c";"2025-03-19 19:13:48";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"16"
"2025-03-19 16:54:17.301000-03:00";"2025-06-10 09:10:58.326000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí do vulcão";"91 98956-6142";"-1.403784 -48.44209 0 0";"-1.403784";"-48.44209";"0";"0";"453966283";"3becf4cf-3340-4502-a21d-f49b88ee8b83";"2025-03-19 20:03:35";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"17"
"2025-03-19 17:07:44.676000-03:00";"2025-06-10 09:28:57.420000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí Mano a Mano";"91 98804-5109d 1°20'29""S 48°26'45""W";"-1.34193 -48.44789 0 0";"-1.34193";"-48.44789";"0";"0";"453969244";"9f677812-25c2-4a76-bbc1-dd57198e75f5";"2025-03-19 20:13:37";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"18"
"2025-03-19 17:13:34.422000-03:00";"2025-06-10 09:30:35.459000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí Bool";"91 99146-6754";"-1.47462 -48.46656 0 0";"-1.47462";"-48.46656";"0";"0";"453970332";"39142df2-3444-4cf9-889b-9f966a8c37ce";"2025-03-19 20:16:13";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"19"
"2025-03-19 17:38:43.822000-03:00";"2025-06-10 09:15:11.906000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí do Papai";"91 98198-7139";"-1.41516 -48.439068 0 0";"-1.41516";"-48.439068";"0";"0";"453978026";"3390728c-8f9f-4eb9-b82c-e3f82ef98265";"2025-03-19 20:40:53";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"20"
"2025-03-19 17:49:29.589000-03:00";"2025-06-10 09:35:17.491000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí da Mena";"91 98721-8438";"-1.41932 -48.47746 0 0";"-1.41932";"-48.47746";"0";"0";"453980891";"0d0dcb88-068b-42f8-a35c-4866bea123a2";"2025-03-19 20:51:37";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"21"
"2025-03-19 17:55:58.506000-03:00";"2025-06-10 09:22:25.292000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí Salmo 23";"91 98264-3678";"-1.47456 -48.49426 0 17.653";"-1.47456";"-48.49426";"0";"17.653";"453983098";"6e650e4b-0659-497d-9d32-c848958d05fb";"2025-03-19 21:00:17";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"22"
"2025-03-19 18:05:30.212000-03:00";"2025-06-10 09:31:27.891000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí do Dedel";"91 98159-2802";"-1.47029 -48.46843 0 0";"-1.47029";"-48.46843";"0";"0";"453984656";"01366da6-d707-4d85-b9c4-edaf187d15f1";"2025-03-19 21:07:50";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"23"
"2025-03-19 15:45:55.171000-03:00";"2025-03-24 10:19:32.705000-03:00";"";"Carlos Lima";"";"";"";"";"";"";"";"";"";"Líder Quintino";"40081024";"-1.462902 -48.483871 0 0";"-1.462902";"-48.483871";"0";"0";"455650208";"937e2f66-b99b-49c8-9ef5-f6440d01efcb";"2025-03-24 13:19:34";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"24"
"2025-03-24 10:19:32.833000-03:00";"2025-03-24 10:21:40.859000-03:00";"";"Carlos Lima";"";"";"";"";"";"";"";"";"";"Líder canudos";"40081017";"-1.447822 -48.461317 0 0";"-1.447822";"-48.461317";"0";"0";"455651336";"ab944127-6422-467b-9a6a-2346ab53ea5e";"2025-03-24 13:21:43";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"25"
"2025-03-24 10:21:40.946000-03:00";"2025-03-24 10:25:16.457000-03:00";"";"Carlos Lima";"";"";"";"";"";"";"";"";"";"Líder Humaitá";"40081009";"-1.439782 -48.465485 0 0";"-1.439782";"-48.465485";"0";"0";"455653274";"80109dc7-9df5-488e-8d92-5adcf5ee7f18";"2025-03-24 13:25:18";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"26"
"2025-03-24 10:25:16.554000-03:00";"2025-03-24 10:38:40.155000-03:00";"";"Carlos Lima";"";"";"";"";"";"";"";"";"";"Líder praça Brasil";"40081007";"-1.439335 -48.483745 0 0";"-1.439335";"-48.483745";"0";"0";"455660533";"5e1d4abe-e245-4a41-930b-ffc0056880db";"2025-03-24 13:38:59";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"27"
"2025-03-25 09:58:25.639000-03:00";"2025-03-25 09:59:41.213000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Super Açaí da Ilha";"9198510-6290";"-1.473944 -48.491371 -11.300000190734863 12.100000381469727";"-1.473944";"-48.491371";"-11.300000190734863";"12.100000381469727";"456090150";"2f28f1ef-a804-4bea-8236-a92eda8da611";"2025-03-25 12:59:41";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"28"
"2025-03-25 10:19:23.602000-03:00";"2025-03-25 10:20:40.485000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí da Mônica";"91 98719-0621";"-1.475838 -48.487356 -12.399999618530273 11.47599983215332";"-1.475838";"-48.487356";"-12.399999618530273";"11.47599983215332";"456102627";"f1915869-1c32-4c8d-9753-56a27f1d636d";"2025-03-25 13:20:41";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"29"
"2025-03-25 10:42:01.447000-03:00";"2025-03-25 10:44:45.494000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí do Tucano";"91 98124-2299";"-1.456801 -48.489002 -4 17.200000762939453";"-1.456801";"-48.489002";"-4";"17.200000762939453";"456116335";"65d58f0c-63c0-4a5c-8031-52bf5bea862b";"2025-03-25 13:44:45";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"30"
"2025-03-25 10:44:45.574000-03:00";"2025-03-25 11:11:47.931000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí do Zé";"91 98547-8417";"-1.467594 -48.474815 -11.199999809265137 12.557000160217285";"-1.467594";"-48.474815";"-11.199999809265137";"12.557000160217285";"456130760";"d2024910-ffd9-4721-b436-d6ed09be5344";"2025-03-25 14:11:48";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"31"
"2025-03-25 11:11:48.019000-03:00";"2025-03-25 11:33:44.122000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí de Ponta";"91 98423-0753";"-1.451947 -48.459864 -6.400000095367432 11.472000122070312";"-1.451947";"-48.459864";"-6.400000095367432";"11.472000122070312";"456140865";"5252f293-1096-470e-84ee-ed1411f5da01";"2025-03-25 14:33:44";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"32"
"2025-03-27 10:22:41.249000-03:00";"2025-03-27 10:25:10.611000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Barraca do açaí";"91 98047-5555";"-1.444886 -48.468017 -3.1000003814697266 14.168000221252441";"-1.444886";"-48.468017";"-3.1000003814697266";"14.168000221252441";"457018335";"22c77ddc-7e43-40e7-a011-649936d640fa";"2025-03-27 13:25:11";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"33"
"2025-03-27 10:38:25.094000-03:00";"2025-03-27 10:39:02.852000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Líder Duque";"91 4008-1054";"-1.430463 -48.4627 -1.0000001192092896 21.5049991607666";"-1.430463";"-48.4627";"-1.0000001192092896";"21.5049991607666";"457025140";"f22a0441-6408-4f46-b86f-548cc775a2d1";"2025-03-27 13:39:03";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"34"
"2025-03-27 10:39:02.897000-03:00";"2025-03-27 11:06:50.963000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Líder Marambaia";"91 4008-10-40";"-1.406354 -48.447526 -3.1000003814697266 18.37700080871582";"-1.406354";"-48.447526";"-3.1000003814697266";"18.37700080871582";"457040294";"fc2f074a-9522-42da-af04-3f29010e3388";"2025-03-27 14:06:51";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"35"
"2025-03-28 10:01:45.669000-03:00";"2025-03-28 10:02:28.483000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí do Amaral";"91 99629-0074";"-1.423602 -48.475895 -8.300000190734863 18.5939998626709";"-1.423602";"-48.475895";"-8.300000190734863";"18.5939998626709";"457399428";"80e5c84d-4ec0-4fdc-b4ec-e165c3d141e7";"2025-03-28 13:02:28";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"36"
"2025-03-28 10:14:51.393000-03:00";"2025-03-28 10:15:55.775000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí Pai degua";"91 99191-6952";"-1.415359 -48.486135 -11.399999618530273 13.11299991607666";"-1.415359";"-48.486135";"-11.399999618530273";"13.11299991607666";"457405617";"a58fbd9a-5435-41be-8d73-35c729c55ce6";"2025-03-28 13:15:55";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"37"
"2025-03-28 10:15:55.829000-03:00";"2025-03-28 10:38:02.423000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí da Cris";"91 98866-8638";"-1.417332 -48.474668 -9.300000190734863 16.79400062561035";"-1.417332";"-48.474668";"-9.300000190734863";"16.79400062561035";"457413854";"578f0841-0a66-486e-abf6-def83361d105";"2025-03-28 13:38:03";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"38"
"2025-04-01 09:51:58.780000-03:00";"2025-04-01 09:52:46.332000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí do Davi";"91 98532-3432";"-1.473951 -48.480616 -11.5 20.738000869750977";"-1.473951";"-48.480616";"-11.5";"20.738000869750977";"458391633";"1c4e739c-82c5-4a13-b10d-36339a1bd52f";"2025-04-01 12:52:46";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"39"
"2025-04-01 10:01:46.249000-03:00";"2025-04-01 10:02:29.357000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí do Simão";"91 98370-2732";"-1.47027 -48.480839 -11.5 13.89799976348877";"-1.47027";"-48.480839";"-11.5";"13.89799976348877";"458395252";"f573119d-c601-47a1-817b-2986ba9d2fee";"2025-04-01 13:02:29";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"40"
"2025-04-01 10:02:29.415000-03:00";"2025-04-01 10:19:37.560000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí da Kiki";"91 98129-9561";"-1.470722 -48.476198 -11.59999942779541 20.02199935913086";"-1.470722";"-48.476198";"-11.59999942779541";"20.02199935913086";"458401120";"63378ecb-3505-459e-aac1-ed1ebc787b8a";"2025-04-01 13:19:37";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"41"
"2025-04-01 10:19:37.645000-03:00";"2025-04-01 10:45:03.155000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí do Diel";"91 98453-1259";"-1.470869 -48.463612 -9.899999618530273 15.376999855041504";"-1.470869";"-48.463612";"-9.899999618530273";"15.376999855041504";"458409894";"333715e9-dddc-4c9e-8d0c-e6a2fb84e19c";"2025-04-01 13:45:03";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"42"
"2025-04-01 11:00:39.353000-03:00";"2025-04-01 11:01:30.332000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí açaidera";"91 99101-7568";"-1.460982 -48.456316 -11.800000190734863 11.720999717712402";"-1.460982";"-48.456316";"-11.800000190734863";"11.720999717712402";"458415594";"8070086f-76cf-4986-b701-6e0ed91f5991";"2025-04-01 14:01:30";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"43"
"2025-04-01 11:30:54.745000-03:00";"2025-04-01 11:32:51.335000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí Maravilha da Roso Danin";"91 98982-4466";"-1.449881 -48.452691 -11.800000190734863 18.29599952697754";"-1.449881";"-48.452691";"-11.800000190734863";"18.29599952697754";"458425286";"a3e3444f-1568-4572-a69b-9fb91310d4d0";"2025-04-01 14:32:51";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"44"
"2025-04-01 11:32:51.401000-03:00";"2025-04-01 11:46:37.864000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí do Dadá";"91 98566-4088";"-1.446273 -48.454514 -11.59999942779541 11.47599983215332";"-1.446273";"-48.454514";"-11.59999942779541";"11.47599983215332";"458430030";"3626523b-e1a3-4a76-833c-83c8b2ba6c54";"2025-04-01 14:46:38";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"45"
"2025-04-02 09:46:57.622000-03:00";"2025-04-02 09:47:38.957000-03:00";"";"Amanda Souz";"";"";"";"";"";"";"";"";"";"Açaí do Playboy";"91 98551-0569";"-1.398586 -48.450341 -0.5000001192092896 11.47599983215332";"-1.398586";"-48.450341";"-0.5000001192092896";"11.47599983215332";"458716801";"afa7f476-60ab-49ae-b4cd-c72252fefa88";"2025-04-02 12:47:39";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"46"
"2025-04-02 09:47:39.008000-03:00";"2025-04-02 10:08:36.652000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí do Vulcão";"91 98956-6142";"-1.403702 -48.442044 -0.5000001192092896 16.187000274658203";"-1.403702";"-48.442044";"-0.5000001192092896";"16.187000274658203";"458725848";"100a202f-9cf4-4a54-97d8-ae2cff6d0cfc";"2025-04-02 13:08:36";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"47"
"2025-04-02 10:59:19.931000-03:00";"2025-04-02 11:00:07.551000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí Tropicana";"91 98991-5454";"-1.401417 -48.454297 -1.399999976158142 11.473999977111816";"-1.401417";"-48.454297";"-1.399999976158142";"11.473999977111816";"458745893";"b3a773f3-159e-4474-a9fc-91396f246169";"2025-04-02 14:00:08";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"48"
"2025-04-03 09:46:20.272000-03:00";"2025-04-03 09:47:21.334000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Líder Condor";"91 4008-1001";"-1.47126 -48.476065 -11.5 23.740999221801758";"-1.47126";"-48.476065";"-11.5";"23.740999221801758";"459076042";"7a22b672-fd2b-4689-9a61-c4093e9565fd";"2025-04-03 12:47:21";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"49"
"2025-04-03 09:47:21.385000-03:00";"2025-04-03 10:14:13.446000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Líder Guamá";"91 98402-7008";"-1.471122 -48.459297 -7.900000095367432 13.03600025177002";"-1.471122";"-48.459297";"-7.900000095367432";"13.03600025177002";"459086630";"e52fda1e-3c9b-49e6-ba5a-c494e5494964";"2025-04-03 13:14:13";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"50"
"2025-04-03 10:42:11.687000-03:00";"2025-04-03 10:43:06.872000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Líder Alcindo Cacela";"4008-1002";"-1.456146 -48.476905 -7.200000286102295 11.67300033569336";"-1.456146";"-48.476905";"-7.200000286102295";"11.67300033569336";"459097123";"44ab0b8d-d3d9-4aa4-87ad-5750b128bbdf";"2025-04-03 13:43:07";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"51"
"2025-04-03 10:43:06.930000-03:00";"2025-04-03 11:05:45.233000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Mais barato Plaza";"3204-8355";"-1.449105 -48.471686 -8.699999809265137 21.41200065612793";"-1.449105";"-48.471686";"-8.699999809265137";"21.41200065612793";"459104965";"5a3b77dd-2811-4cab-a8d6-1246a57e94ba";"2025-04-03 14:05:44";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"52"
"2025-04-04 09:51:58.542000-03:00";"2025-04-04 09:52:40.290000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Cantinho do açaí";"91 98721-0922";"-1.408998 -48.428377 -2.9000000953674316 6.760000228881836";"-1.408998";"-48.428377";"-2.9000000953674316";"6.760000228881836";"459427727";"ee376848-1e43-4b2d-8a01-f07317ac4332";"2025-04-04 12:52:40";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"53"
"2025-04-08 11:37:11.178000-03:00";"2025-04-08 11:39:06.246000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí da Rosa";"91 98532-7826";"-1.303438 -48.471007 -0.5000001192092896 13.699999809265137";"-1.303438";"-48.471007";"-0.5000001192092896";"13.699999809265137";"460701868";"a886aad9-739f-4c18-9673-728d13989b4d";"2025-04-08 14:39:05";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"54"
"2025-04-09 09:49:53.014000-03:00";"2025-04-09 09:51:08.381000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí do Cardoso";"91 98159-3880";"-1.473297 -48.481441 -11.5 13.9399995803833";"-1.473297";"-48.481441";"-11.5";"13.9399995803833";"461110241";"cee36ca7-9b9f-433d-87a7-47aa8859f730";"2025-04-09 12:51:07";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"55"
"2025-04-09 10:23:55.190000-03:00";"2025-04-09 10:25:28.232000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Açaí da Galeria";"91 98536-5122";"-1.452183 -48.49659 -1.399999976158142 13.102999687194824";"-1.452183";"-48.49659";"-1.399999976158142";"13.102999687194824";"461128448";"88154a3c-7500-4853-9114-46876992ee22";"2025-04-09 13:25:28";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"56"
"2025-04-10 09:56:18.226000-03:00";"2025-04-10 09:57:41.262000-03:00";"";"Amanda Souza";"";"";"";"";"";"";"";"";"";"Supermercado Líder Pedreira";"4008-1027";"-1.432391 -48.475453 -5.100000381469727 23.253000259399414";"-1.432391";"-48.475453";"-5.100000381469727";"23.253000259399414";"461588175";"c605447d-c949-44fc-bc8b-2442d0febdba";"2025-04-10 12:57:40";"";"";"submitted_via_web";"";"vreXFtC8vF5hwsau2wtS5v";"";"57"
